Date / Time,Home team,,,,Away team,Location,Status
411 - 10:10 PM,Minnesota Wild,,,,Tombstone,EHLMIN,Incomplete
412 - 10:10 PM,High Quality Plague,,,,Reverse HC,EHLWSS,Incomplete
413 - 10:10 PM,Royal deltz,,,,Stratton Oakmont,EHLRYD,Incomplete
414 - 10:10 PM,MN BLUES,,,,Hope Skate Park,EHLMNB,Incomplete
415 - 10:10 PM,Pouch munchers,,,,Kitty Slayers,EHLMUN,Incomplete
416 - 10:10 PM,Puckin Around,,,,Steel City Legion,EHLPKA,Incomplete
417 - 10:10 PM,Cape Cod Rangers,,,,Blood Sweat & Beers,EHLCCR ,Incomplete
418 - 10:10 PM,Pioneers,,,,Montrescotia Buffaloes,EHLPIO,Incomplete
419 - 10:10 PM,Greensboro Hurricanes,,,,Sabres On Ice,EHLBIS,Incomplete
420 - 10:10 PM,Canadian Frostbytes,,,,Cooper Gang HC,EHLEFB,Incomplete
